Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
IN,GJ,,,18,ICGST 18%,1,0,0,
IN,HP,,,18,ICGST 18%,1,0,0,
IN,HR,,,18,ICGST 18%,1,0,0,
IN,JH,,,18,ICGST 18%,1,0,0,
IN,JK,,,18,ICGST 18%,1,0,0,
IN,KA,,,18,ICGST 18%,1,0,0,
IN,KL,,,18,ICGST 18%,1,0,0,
IN,LA,,,18,ICGST 18%,1,0,0,
IN,LD,,,18,ICGST 18%,1,0,0,
IN,LD,,,18,ICGST 18%,1,0,0,
IN,MH,,,18,ICGST 18%,1,0,0,
IN,ML,,,18,ICGST 18%,1,0,0,
IN,MN,,,18,ICGST 18%,1,0,0,
IN,MP,,,18,ICGST 18%,1,0,0,
IN,MZ,,,18,ICGST 18%,1,0,0,
IN,NL,,,18,ICGST 18%,1,0,0,
IN,OD,,,18,ICGST 18%,1,0,0,
IN,PB,,,18,ICGST 18%,1,0,0,
IN,PY,,,18,ICGST 18%,1,0,0,
IN,RJ,,,18,ICGST 18%,1,0,0,
IN,SK,,,18,ICGST 18%,1,0,0,
IN,TG,,,18,ICGST 18%,1,0,0,
IN,TN,,,9,SGST 9%,1,0,0,
IN,TR,,,18,ICGST 18%,1,0,0,
IN,TS,,,18,ICGST 18%,1,0,0,
IN,UK,,,18,ICGST 18%,1,0,0,
IN,UP,,,18,ICGST 18%,1,0,0,
IN,WB,,,18,ICGST 18%,1,0,0,
IN,TN,,,9,CGST 9%,2,0,0,
CA,AB,,,5,GST (5%),1,0,0,
CA,BC,,,5,GST 5%),1,0,0,
CA,MB,,,5,GST (5%),1,0,0,
CA,NB,,,15,HST (15%),1,0,0,
CA,NL,,,15,HST (15%),1,0,0,
CA,NS,,,15,HST (15%),1,0,0,
CA,NT,,,5,GST (5%),1,0,0,
CA,NU,,,5,GST (5%),1,0,0,
CA,ON,,,13,HST (13%),1,0,0,
CA,PE,,,15,HST (15%),1,0,0,
CA,QC,,,5,GST (5%),1,0,0,
CA,SK,,,5,GST (5%),1,0,0,
CA,YT,,,5,GST (5%),1,0,0,
CA,BC,,,7,PST (7%),2,0,0,
CA,MB,,,7,PST (7%),2,0,0,
CA,QC,,,9.975,PST (9.975%),2,0,0,
CA,SK,,,6,PST (6%),2,0,0,
